order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,order_size
74,Diana,Monitor,2.0,0.0,2024-03-07,West,0.0,Medium
75,Frank,Phone,0.0,0.0,2024-04-13,Unknown,0.0,None
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0,Medium
77,Bob,Tablet,0.0,750.0,2024-01-24,West,0.0,None
78,Bob,Tablet,3.0,0.0,2024-04-23,Unknown,0.0,Medium
79,Diana,Laptop,0.0,500.0,2024-02-01,West,0.0,None
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0,Medium
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,Medium
82,Frank,Laptop,0.0,250.0,2024-01-23,Unknown,0.0,None
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,Medium
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,Small
85,Frank,Monitor,3.0,0.0,2024-04-15,Unknown,0.0,Medium
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,Medium
87,Alice,Tablet,0.0,500.0,2024-03-30,South,0.0,None
88,Frank,Tablet,1.0,500.0,2024-01-17,Unknown,500.0,Small
89,Eve,Phone,0.0,500.0,2024-04-13,West,0.0,None
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,Medium
91,Bob,Phone,2.0,0.0,2024-01-09,West,0.0,Medium
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,Medium
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,Medium
94,Alice,Phone,3.0,0.0,2024-02-17,East,0.0,Medium
95,Diana,Laptop,0.0,250.0,2024-02-08,South,0.0,None
96,Diana,Laptop,0.0,0.0,2024-04-02,North,0.0,None
97,Diana,Phone,1.0,250.0,2024-02-11,Unknown,250.0,Small
98,Eve,Monitor,1.0,500.0,2024-04-28,Unknown,500.0,Small
99,Alice,Monitor,0.0,250.0,2024-01-26,West,0.0,None
100,Eve,Monitor,3.0,0.0,2024-04-08,South,0.0,Medium
